RIN,Geolocation,zip,long_lat,TigerLineID,Tract,Block
151920,"1010 WEST LYNN ST, Austin, TX, ,","1010 W LYNN ST, AUSTIN, TX, 78703","-97.759865,30.279163",63942858,1200,1007
151921,"1010 WEST LYNN ST, Austin, TX, ,","1010 W LYNN ST, AUSTIN, TX, 78703","-97.759865,30.279163",63942858,1200,1007
151922,"12234 ABBEY GLEN LN, Austin, TX, ,","12234 ABBEY GLEN LN, AUSTIN, TX, 78753","-97.65749,30.389318",64005286,1835,2000
151923,"2530 CHAPARRAL TRL, Austin, TX, ,","2530 CHAPARRAL TRL, AUSTIN, TX, 78744","-97.7473,30.194939",64003659,2411,3006
151939,"2530 CHAPARRAL TRL, Austin, TX, ,","2530 CHAPARRAL TRL, AUSTIN, TX, 78744","-97.7473,30.194939",64003659,2411,3006
151979,"7522 N IH 35 SVRD SB, Austin, TX, ,",,,,,
151999,"7522 N IH 35 SVRD SB, Austin, TX, ,",,,,,
152019,"3708 S 2ND ST, Austin, TX, ,","3708 S 2ND ST, AUSTIN, TX, 78704","-97.770226,30.230337",63944318,1307,1005
152020,"2400 BLOCK E 6TH ST, Austin, TX, ,","2400 E 6TH ST, AUSTIN, TX, 78702","-97.716644,30.259647",63947298,902,2006
152021,"2209 PERRY AVE, Austin, TX, ,","2209 PERRY AVE, AUSTIN, TX, 78704","-97.7651,30.245422",63963552,1305,2008
152022,"2209 PERRY AVE, Austin, TX, ,","2209 PERRY AVE, AUSTIN, TX, 78704","-97.7651,30.245422",63963552,1305,2008
152023,"900 BLOCK TRINITY ST, Austin, TX, ,","900 TRINITY ST, AUSTIN, TX, 78701","-97.73824,30.269972",63946484,1100,1048
152024,"5300 BLOCK ATASCOSA DR, Austin, TX, ,","5300 ATASCOSA DR, AUSTIN, TX, 78744","-97.74112,30.193872",641783272,2413,3002
152025,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
152026,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
152027,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
152028,"400 BLOCK E 6TH ST, Austin, TX, ,","400 E 6TH ST, AUSTIN, TX, 78701","-97.73924,30.26705",63946502,1100,1096
152039,"6518 ED BLUESTEIN BLVD SB, Austin, TX, ,","6518 ED BLUESTEIN BLVD, AUSTIN, TX, 78723","-97.6611,30.302723",64019295,2108,2002
152040,"605 MASTERSON PASS, Austin, TX, ,","605 MASTERSON PASS, AUSTIN, TX, 78753","-97.69076,30.370434",64023945,1823,1002
152041,"400 COLORADO ST, Austin, TX, ,","400 COLORADO ST, AUSTIN, TX, 78701","-97.74479,30.266644",63943435,1100,1111
152043,"611 NECHES ST, Austin, TX, ,","611 NECHES ST, AUSTIN, TX, 78701","-97.73819,30.266933",63946499,1100,1097
152044,"W 4TH ST / COLORADO ST, Austin, TX, ,",,,,,
152045,"619 N IH 35 SVRD NB, Austin, TX, ,",,,,,
152046,"300 E 6TH ST, Austin, TX, ,",,,,,
152047,"3400 LYNRIDGE DR, Austin, TX, ,","3400 LYNRIDGE DR, AUSTIN, TX, 78723","-97.66504,30.31724",63935170,2113,1002
152048,"3400 LYNRIDGE DR, Austin, TX, ,","3400 LYNRIDGE DR, AUSTIN, TX, 78723","-97.66504,30.31724",63935170,2113,1002
152049,"9400 W PARMER LN, Austin, TX, ,",,,,,
152059,"6500 S MOPAC EXPY SVRD SB, Austin, TX, ,","6500 N MO PAC EXPY, AUSTIN, TX, 78731","-97.75159,30.345316",63963332,1718,1016
152079,"6003 BELFAST DR, Austin, TX, ,","6003 BELFAST DR, AUSTIN, TX, 78723","-97.694595,30.315397",63932794,2104,1008
152080,"6003 BELFAST DR, Austin, TX, ,","6003 BELFAST DR, AUSTIN, TX, 78723","-97.694595,30.315397",63932794,2104,1008
152081,"6003 BELFAST DR, Austin, TX, ,","6003 BELFAST DR, AUSTIN, TX, 78723","-97.694595,30.315397",63932794,2104,1008
152082,"619 N IH 35 SVRD NB, Austin, TX, ,",,,,,
152083,"1830 W RUNDBERG LN, Austin, TX, ,","1830 W RUNDBERG LN, AUSTIN, TX, 78758","-97.712425,30.370222",63930468,1820,1003
152084,"900 BLOCK TRINITY ST, Austin, TX, ,","900 TRINITY ST, AUSTIN, TX, 78701","-97.73824,30.269972",63946484,1100,1048
152099,"8800 N IH 35 SVRD SB, Austin, TX, ,",,,,,
152100,"6003 BELFAST DR, Austin, TX, ,","6003 BELFAST DR, AUSTIN, TX, 78723","-97.694595,30.315397",63932794,2104,1008
152101,"863 AIRPORT BLVD, Austin, TX, ,","863 AIRPORT BLVD, AUSTIN, TX, 78702","-97.69321,30.25754",64121686,2111,2011
152102,"619 N IH 35 SVRD NB, Austin, TX, ,",,,,,
152103,"3708 S 2ND ST, Austin, TX, ,","3708 S 2ND ST, AUSTIN, TX, 78704","-97.770226,30.230337",63944318,1307,1005
152104,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
152105,"1009 E 40TH ST, Austin, TX, ,","1009 E 40TH ST, AUSTIN, TX, 78751","-97.72,30.297348",63946181,302,4015
152119,"863 AIRPORT BLVD, Austin, TX, ,","863 AIRPORT BLVD, AUSTIN, TX, 78702","-97.69321,30.25754",64121686,2111,2011
152120,"3403 MANOR RD, Austin, TX, ,","3403 MANOR RD, AUSTIN, TX, 78723","-97.70102,30.287676",63947576,2109,1005
152121,"400 COLORADO ST, Austin, TX, ,","400 COLORADO ST, AUSTIN, TX, 78701","-97.74479,30.266644",63943435,1100,1111
152122,"400 COLORADO ST, Austin, TX, ,","400 COLORADO ST, AUSTIN, TX, 78701","-97.74479,30.266644",63943435,1100,1111
152123,"3400 LYNRIDGE DR, Austin, TX, ,","3400 LYNRIDGE DR, AUSTIN, TX, 78723","-97.66504,30.31724",63935170,2113,1002
152124,"1009 E 40TH ST, Austin, TX, ,","1009 E 40TH ST, AUSTIN, TX, 78751","-97.72,30.297348",63946181,302,4015
152125,"1009 E 40TH ST, Austin, TX, ,",,,,,
152139,"10416 YELLOWSTONE DR, Austin, TX, ,","10416 YELLOWSTONE DR, AUSTIN, TX, 78747","-97.78642,30.150484",633200769,2425,2015
152140,"10416 YELLOWSTONE DR, Austin, TX, ,","10416 YELLOWSTONE DR, AUSTIN, TX, 78747","-97.78642,30.150484",633200769,2425,2015
152141,"4700 E STASSNEY LN, Austin, TX, ,","4700 E STASSNEY LN, AUSTIN, TX, 78744","-97.74317,30.194094",63950160,2413,1006
152142,"13000 LOFTON CLIFF DR, Austin, TX, ,",,,,,
152159,"4700 E STASSNEY LN, Austin, TX, ,","4700 E STASSNEY LN, AUSTIN, TX, 78744","-97.74317,30.194094",63950160,2413,1006
152160,"4700 E STASSNEY LN, Austin, TX, ,","4700 E STASSNEY LN, AUSTIN, TX, 78744","-97.74317,30.194094",63950160,2413,1006
152179,"7418 VINTAGE HILLS DR, Austin, TX, ,","7418 VINTAGE HILLS DR, AUSTIN, TX, 78723","-97.66581,30.319035",63935163,2113,1000
152180,"4500 BURLESON RD, Austin, TX, ,","4500 BURLESON RD, AUSTIN, TX, 78744","-97.73437,30.21402",637860613,2431,1005
152181,"7200 S 1ST ST, Austin, TX, ,",,,,,
152182,"5621 N IH 35 SVRD NB, Austin, TX, ,",,,,,
152183,"6700 BRANCHWOOD DR, Austin, TX, ,","6700 BRANCHWOOD DR, AUSTIN, TX, 78744","-97.75757,30.183775",63949944,2427,4009
152184,"407 E 6TH ST, Austin, TX, ,",,,,,
152185,"407 MONTOPOLIS DR, Austin, TX, ,","407 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.69302,30.241228",63949153,2312,1004
152186,"400 BLOCK W 5TH ST, Austin, TX, ,","400 W 5TH ST, AUSTIN, TX, 78703","-97.74672,30.268122",63943373,1100,1074
152187,"3403 MANOR RD, Austin, TX, ,","3403 MANOR RD, AUSTIN, TX, 78723","-97.70102,30.287676",63947576,2109,1005
152188,"3403 MANOR RD, Austin, TX, ,","3403 MANOR RD, AUSTIN, TX, 78723","-97.70102,30.287676",63947576,2109,1005
152189,"3913 E MARTIN LUTHER KING JR BLVD, Austin, TX, ,",,,,,
152190,"3913 E MARTIN LUTHER KING JR BLVD, Austin, TX, ,","3913 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX, 78721","-97.69131,30.28451",63948020,2109,2006
152191,"2500 BLOCK E WILLIAM CANNON DR, Austin, TX, ,","2500 E WILLIAM CANNON DR, AUSTIN, TX, 78744","-97.758545,30.186369",63949931,2419,1000
152192,"400 BLOCK W 5TH ST, Austin, TX, ,","400 W 5TH ST, AUSTIN, TX, 78703","-97.74672,30.268122",63943373,1100,1074
152193,"300 E 6TH ST, Austin, TX, ,",,,,,
152194,"BRAZOS ST / E 6TH ST, Austin, TX, ,",,,,,
152195,"300 E 6TH ST, Austin, TX, ,",,,,,
152196,"300 E 6TH ST, Austin, TX, ,",,,,,
152197,"12164 N MOPAC EXPY SVRD SB, Austin, TX, ,",,,,,
152198,"500 BRAZOS ST, Austin, TX, ,","500 BRAZOS ST, AUSTIN, TX, 78701","-97.74181,30.266832",63943463,1100,1092
152219,"700 ROBERT E LEE RD, Austin, TX, ,","700 ROBERT E LEE RD, AUSTIN, TX, 78704","-97.767,30.262674",63942971,1901,1000
152239,"1881 GROVE BLVD, Austin, TX, ,","1881 GROVE BLVD, AUSTIN, TX, 78741","-97.70711,30.228184",641669799,2318,2008
152240,"10300 YELLOWSTONE DR, Austin, TX, ,","10300 YELLOWSTONE DR, AUSTIN, TX, 78747","-97.78619,30.151403",633200769,2425,2015
152241,"7104 BERKMAN DR, Austin, TX, ,","7104 BERKMAN DR, AUSTIN, TX, 78752","-97.6896,30.324034",64020518,1811,1022
152242,"7104 BERKMAN DR, Austin, TX, ,","7104 BERKMAN DR, AUSTIN, TX, 78752","-97.6896,30.324034",64020518,1811,1022
152243,"7800 N IH 35 SVRD SB, Austin, TX, ,",,,,,
152244,"8072 THAXTON RD, Austin, TX, ,","8072 THAXTON RD, AUSTIN, TX, 78747","-97.737854,30.155891",63968462,2426,1040
152245,"7200 S 1ST ST, Austin, TX, ,",,,,,
152247,"2612 JEFFERSON ST, Austin, TX, ,","2612 JEFFERSON ST, AUSTIN, TX, 78703","-97.75729,30.298344",63942080,1603,4001
152248,"300 E 6TH ST, Austin, TX, ,",,,,,
152249,"100 THE CIRCLE, Austin, TX, ,","100 THE CIRCLE, AUSTIN, TX, 78704","-97.748955,30.251083",63944862,1401,1009
152259,"619 N IH 35 SVRD NB, Austin, TX, ,",,,,,
152279,"7104 BERKMAN DR, Austin, TX, ,","7104 BERKMAN DR, AUSTIN, TX, 78752","-97.6896,30.324034",64020518,1811,1022
152280,"7800 N IH 35 SVRD SB, Austin, TX, ,",,,,,
152281,"8072 THAXTON RD, Austin, TX, ,","8072 THAXTON RD, AUSTIN, TX, 78747","-97.737854,30.155891",63968462,2426,1040
152282,"407 E 6TH ST, Austin, TX, ,",,,,,
152283,"600 SABINE ST, Austin, TX, ,","600 SABINE ST, AUSTIN, TX, 78701","-97.73611,30.266254",63946544,1100,1102
152284,"9400 W PARMER LN, Austin, TX, ,","9400 W PARMER LN, AUSTIN, TX, 78717","-97.766335,30.479992",126456782,20508,1008
152285,"300 E 6TH ST, Austin, TX, ,",,,,,
152286,"300 E 6TH ST, Austin, TX, ,",,,,,
152287,"400 BLOCK W 5TH ST, Austin, TX, ,","400 W 5TH ST, AUSTIN, TX, 78703","-97.74672,30.268122",63943373,1100,1074
152288,"1700 BURTON DR, Austin, TX, ,","1700 BURTON DR, AUSTIN, TX, 78741","-97.727615,30.237448",63948686,2316,1002
152289,"601 E 15TH ST, Austin, TX, ,","601 E 15TH ST, AUSTIN, TX, 78701","-97.73434,30.27546",63964919,700,1077
152290,"601 E 15TH ST, Austin, TX, ,","601 E 15TH ST, AUSTIN, TX, 78701","-97.73434,30.27546",63964919,700,1077
152291,"12164 N MOPAC EXPY SVRD SB, Austin, TX, ,",,,,,
152292,"1169 HARVEY ST, Austin, TX, ,","1169 HARVEY LN, AUSTIN, TX, 78702","-97.70235,30.27511",64010184,802,2000
152293,"6700 MIDDLE FISKVILLE RD, Austin, TX, ,","6700 MIDDLE FISKVILLE RD, AUSTIN, TX, 78752","-97.70686,30.328632",63932431,1503,4014
152294,"3403 MANOR RD, Austin, TX, ,","3403 MANOR RD, AUSTIN, TX, 78723","-97.70102,30.287676",63947576,2109,1005
152295,"600 SABINE ST, Austin, TX, ,","600 SABINE ST, AUSTIN, TX, 78701","-97.73611,30.266254",63946544,1100,1102
152296,"500 E 7TH ST, Austin, TX, ,","500 E 7TH ST, AUSTIN, TX, 78701","-97.73783,30.267681",63946500,1100,1098
152297,"600 NECHES ST, Austin, TX, ,","600 NECHES ST, AUSTIN, TX, 78701","-97.73823,30.266857",63946499,1100,1096
152299,"2000 CEDAR BEND DR, Austin, TX, ,",,,,,
152300,"8728 N LAMAR BLVD, Austin, TX, ,","8728 N LAMAR BLVD, AUSTIN, TX, 78753","-97.70223,30.35585",63932184,1805,2018
152301,"8728 N LAMAR BLVD, Austin, TX, ,","8728 N LAMAR BLVD, AUSTIN, TX, 78753","-97.70223,30.35585",63932184,1805,2018
152302,"10416 YELLOWSTONE DR, Austin, TX, ,","10416 YELLOWSTONE DR, AUSTIN, TX, 78747","-97.78642,30.150484",633200769,2425,2015
152303,"300 FERGUSON DR, Austin, TX, ,","300 FERGUSON DR, AUSTIN, TX, 78753","-97.68668,30.376686",63934145,1823,2000
152304,"4424 S MOPAC EXPY SVRD SB, Austin, TX, ,",,,,,
152319,"8300 GEORGIAN DR, Austin, TX, ,","8300 GEORGIAN DR, AUSTIN, TX, 78753","-97.70229,30.349192",63932227,1806,4003
152321,"1169 HARVEY ST, Austin, TX, ,","1169 HARVEY LN, AUSTIN, TX, 78702","-97.70235,30.27511",64010184,802,2000
152322,"4424 S MOPAC EXPY SVRD SB, Austin, TX, ,",,,,,
152339,"7900 RESEARCH BLVD SVRD NB, Austin, TX, ,","7900 RESEARCH BLVD, AUSTIN, TX, 78758","-97.7132,30.348587",639631593,1818,2018
152359,"600 NECHES ST, Austin, TX, ,","600 NECHES ST, AUSTIN, TX, 78701","-97.73823,30.266857",63946499,1100,1096
152360,"2800 S IH 35 SB, Austin, TX, ,",,,,,
152361,"2336 DOUGLAS ST, Austin, TX, ,","2336 DOUGLAS ST, AUSTIN, TX, 78741","-97.731995,30.22929",623830749,2313,2000
152362,"5201 BERKMAN DR, Austin, TX, ,",,,,,
152363,"2336 DOUGLAS ST, Austin, TX, ,","2336 DOUGLAS ST, AUSTIN, TX, 78741","-97.731995,30.22929",623830749,2313,2000
152364,"4800 E STASSNEY LN, Austin, TX, ,","4800 E STASSNEY LN, AUSTIN, TX, 78744","-97.741264,30.194044",63950164,2413,1008
152365,"7713 BLOCK BURNET RD, Austin, TX, ,","7713 BURNET RD, AUSTIN, TX, 78757","-97.73229,30.353798",641675465,1504,3000
152366,"200 E 6TH ST, Austin, TX, ,","200 W 6TH ST, AUSTIN, TX, 78701","-97.74421,30.268446",63943432,1100,1087
152367,"300 E 6TH ST, Austin, TX, ,",,,,,
152368,"2900 SWISHER ST, Austin, TX, ,","2900 SWISHER ST, AUSTIN, TX, 78705","-97.72596,30.288261",64017980,401,2014
152369,"223 E 6TH ST, Austin, TX, ,","223 W 6TH ST, AUSTIN, TX, 78701","-97.74442,30.268494",63943432,1100,1086
152370,"1800 BLOCK E 12TH ST, Austin, TX, ,","1800 E 12TH ST, AUSTIN, TX, 78702","-97.7208,30.27367",63946984,803,2021
152371,"1800 BLOCK E 12TH ST, Austin, TX, ,","1800 E 12TH ST, AUSTIN, TX, 78702","-97.7208,30.27367",63946984,803,2021
152372,"1800 BLOCK E 12TH ST, Austin, TX, ,","1800 E 12TH ST, AUSTIN, TX, 78702","-97.7208,30.27367",63946984,803,2021
152373,"3000 GUADALUPE ST, Austin, TX, ,","3000 GUADALUPE ST, AUSTIN, TX, 78705","-97.74191,30.296795",63942521,204,1028
152374,"3000 GUADALUPE ST, Austin, TX, ,","3000 GUADALUPE ST, AUSTIN, TX, 78705","-97.74191,30.296795",63942521,204,1028
152379,"1030 NORWOOD PARK BLVD, Austin, TX, ,","1030 NORWOOD PARK BLVD, AUSTIN, TX, 78753","-97.69347,30.339966",64123786,1813,2022
152399,"5201 BERKMAN DR, Austin, TX, ,",,,,,
152400,"5201 BERKMAN DR, Austin, TX, ,",,,,,
152401,"2607 PARKER LN, Austin, TX, ,","2607 PARKER LN, AUSTIN, TX, 78741","-97.73905,30.229324",63948723,2307,4002
152419,"9801 MANCHACA RD, Austin, TX, ,",,,,,
152423,"300 E 6TH ST, Austin, TX, ,",,,,,
152424,"1700 BURTON DR, Austin, TX, ,","1700 BURTON DR, AUSTIN, TX, 78741","-97.727615,30.237448",63948686,2316,1002
152425,"3605 VILLA CT, Austin, TX, ,","3605 VILLA CT, AUSTIN, TX, 78704","-97.770096,30.232204",63944314,1307,1003
152426,"300 E 6TH ST, Austin, TX, ,",,,,,
152427,"300 E 6TH ST, Austin, TX, ,",,,,,
152428,"300 E 6TH ST, Austin, TX, ,",,,,,
152429,"300 E 6TH ST, Austin, TX, ,",,,,,
152430,"2500 BLOCK E WILLIAM CANNON DR, Austin, TX, ,","2500 E WILLIAM CANNON DR, AUSTIN, TX, 78744","-97.758545,30.186369",63949931,2419,1000
152431,"W 6TH ST / LAVACA ST, Austin, TX, ,",,,,,
152439,"7900 RESEARCH BLVD SVRD NB, Austin, TX, ,","7900 RESEARCH BLVD, AUSTIN, TX, 78758","-97.7132,30.348587",639631593,1818,2018
152440,"1731 TIMBERWOOD DR, Austin, TX, ,","1731 TIMBERWOOD DR, AUSTIN, TX, 78741","-97.74242,30.227098",64094965,2307,2001
152441,"223 E 6TH ST, Austin, TX, ,","223 W 6TH ST, AUSTIN, TX, 78701","-97.74442,30.268494",63943432,1100,1086
152442,"3605 VILLA CT, Austin, TX, ,","3605 VILLA CT, AUSTIN, TX, 78704","-97.770096,30.232204",63944314,1307,1003
152443,"300 E 6TH ST, Austin, TX, ,",,,,,
152459,"1800 BLOCK E 12TH ST, Austin, TX, ,","1800 E 12TH ST, AUSTIN, TX, 78702","-97.7208,30.27367",63946984,803,2021
152460,"6512 MOONGLOW DR, Austin, TX, ,","6512 MOONGLOW DR, AUSTIN, TX, 78724","-97.64459,30.29705",63951933,2208,2002
152461,"12900 N IH 35 NB, Austin, TX, ,",,,,,
152462,"1100 BLOCK S LAMAR BLVD, Austin, TX, ,","1100 S LAMAR BLVD, AUSTIN, TX, 78704","-97.76183,30.255487",63944491,1303,2006
152463,"1100 BLOCK S LAMAR BLVD, Austin, TX, ,","1100 S LAMAR BLVD, AUSTIN, TX, 78704","-97.76183,30.255487",63944491,1303,2006
152479,"7418 VINTAGE HILLS DR, Austin, TX, ,","7418 VINTAGE HILLS DR, AUSTIN, TX, 78723","-97.66581,30.319035",63935163,2113,1000
152480,"6321 CLARION DR, Austin, TX, ,","6321 CLARION DR, AUSTIN, TX, 78749","-97.878586,30.21249",63988407,1737,2003
152481,"500 BRAZOS ST, Austin, TX, ,","500 BRAZOS ST, AUSTIN, TX, 78701","-97.74181,30.266832",63943463,1100,1092
152482,"W 6TH ST / LAVACA ST, Austin, TX, ,",,,,,
152483,"2100 MUROC ST, Austin, TX, ,","2100 MUROC ST, AUSTIN, TX, 78757","-97.73502,30.344124",63930970,1505,2003
152486,"7308 CAMERON RD, Austin, TX, ,","7308 CAMERON RD, AUSTIN, TX, 78752","-97.69118,30.32798",63932706,1812,2002
152487,"N LAMAR BLVD / W RUNDBERG LN, Austin, TX, ,",,,,,
152488,"300 E 6TH ST, Austin, TX, ,",,,,,
152496,"6324 CIRCULO DE AMISTAD, Austin, TX, ,","6324 CIR DE AMISTAD, AUSTIN, TX, 78741","-97.696655,30.234068",64016098,2312,1011
152497,"6324 CIRCULO DE AMISTAD, Austin, TX, ,","6324 CIR DE AMISTAD, AUSTIN, TX, 78741","-97.696655,30.234068",64016098,2312,1011
152498,"9828 GREAT HILLS TRL, Austin, TX, ,","9828 GREAT HILLS TRL, AUSTIN, TX, 78759","-97.74885,30.394241",64108011,1722,2007
152499,"2100 MUROC ST, Austin, TX, ,","2100 MUROC ST, AUSTIN, TX, 78757","-97.73502,30.344124",63930970,1505,2003
152500,"N LAMAR BLVD / W RUNDBERG LN, Austin, TX, ,",,,,,
152501,"N LAMAR BLVD / W RUNDBERG LN, Austin, TX, ,",,,,,
152502,"700 BLOCK CONGRESS AVE, Austin, TX, ,","700 CONGRESS AVE, AUSTIN, TX, 78701","-97.74245,30.269043",63943449,1100,1069
152503,"3417 E MARTIN LUTHER KING JR BLVD, Austin, TX, ,","3417 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX, 78721","-97.69987,30.283188",63947982,2109,1010
152504,"3417 E MARTIN LUTHER KING JR BLVD, Austin, TX, ,","3417 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX, 78721","-97.69987,30.283188",63947982,2109,1010
152505,"6321 CLARION DR, Austin, TX, ,","6321 CLARION DR, AUSTIN, TX, 78749","-97.878586,30.21249",63988407,1737,2003
152519,"7308 CAMERON RD, Austin, TX, ,","7308 CAMERON RD, AUSTIN, TX, 78752","-97.69118,30.32798",63932706,1812,2002
152520,"7308 CAMERON RD, Austin, TX, ,","7308 CAMERON RD, AUSTIN, TX, 78752","-97.69118,30.32798",63932706,1812,2002
152521,"E 6TH ST / RED RIVER ST, Austin, TX, ,",,,,,
152523,"6324 CIRCULO DE AMISTAD, Austin, TX, ,","6324 CIR DE AMISTAD, AUSTIN, TX, 78741","-97.696655,30.234068",64016098,2312,1011
152524,"700 BLOCK CONGRESS AVE, Austin, TX, ,","700 CONGRESS AVE, AUSTIN, TX, 78701","-97.74245,30.269043",63943449,1100,1069
152525,"900 BLOCK TRINITY ST, Austin, TX, ,","900 TRINITY ST, AUSTIN, TX, 78701","-97.73824,30.269972",63946484,1100,1048
152528,"3417 E MARTIN LUTHER KING JR BLVD, Austin, TX, ,","3417 E MARTIN LUTHER KING JR BLVD, AUSTIN, TX, 78721","-97.69987,30.283188",63947982,2109,1010
152529,"407 E 6TH ST, Austin, TX, ,",,,,,
152539,"9828 GREAT HILLS TRL, Austin, TX, ,","9828 GREAT HILLS TRL, AUSTIN, TX, 78759","-97.74885,30.394241",64108011,1722,2007
152540,"1100 W CESAR CHAVEZ ST, Austin, TX, ,",,,,,
152541,"3708 S 2ND ST, Austin, TX, ,","3708 S 2ND ST, AUSTIN, TX, 78704","-97.770226,30.230337",63944318,1307,1005
152542,"7900 BLOCK RESEARCH BLVD NB, Austin, TX, ,","7900 RESEARCH BLVD, AUSTIN, TX, 78758","-97.7132,30.348587",639631593,1818,2018
152543,"7900 BLOCK RESEARCH BLVD NB, Austin, TX, ,","7900 RESEARCH BLVD, AUSTIN, TX, 78758","-97.7132,30.348587",639631593,1818,2018
152544,"1190 BLOCK POQUITO ST, Austin, TX, ,","1190 POQUITO ST, AUSTIN, TX, 78702","-97.718735,30.273003",63946993,804,1003
152545,"300 E 6TH ST, Austin, TX, ,",,,,,
152546,"200 BLOCK W 6TH ST, Austin, TX, ,","200 W 6TH ST, AUSTIN, TX, 78701","-97.74421,30.268446",63943432,1100,1087
152547,"2201 BARTON SPRINGS RD, Austin, TX, ,","2201 BARTON SPRINGS RD, AUSTIN, TX, 78746","-97.76766,30.266026",63981117,1911,1005
152548,"2201 BARTON SPRINGS RD, Austin, TX, ,","2201 BARTON SPRINGS RD, AUSTIN, TX, 78746","-97.76766,30.266026",63981117,1911,1005
152549,"5803 NUCKOLS CROSSING RD, Austin, TX, ,","5803 NUCKOLS CROSSING RD, AUSTIN, TX, 78744","-97.742226,30.187944",63980838,2431,3003
152550,"5803 NUCKOLS CROSSING RD, Austin, TX, ,","5803 NUCKOLS CROSSING RD, AUSTIN, TX, 78744","-97.742226,30.187944",63980838,2431,3003
152559,"407 E 6TH ST, Austin, TX, ,",,,,,
152579,"1706 E WILLIAM CANNON DR, Austin, TX, ,",,,,,
152580,"2000 UNIVERSITY AVE, Austin, TX, ,","2000 UNIVERSITY AVE, AUSTIN, TX, 78705","-97.73973,30.283611",64041931,601,2026
152581,"5803 NUCKOLS CROSSING RD, Austin, TX, ,","5803 NUCKOLS CROSSING RD, AUSTIN, TX, 78744","-97.742226,30.187944",63980838,2431,3003
152582,"5803 NUCKOLS CROSSING RD, Austin, TX, ,","5803 NUCKOLS CROSSING RD, AUSTIN, TX, 78744","-97.742226,30.187944",63980838,2431,3003
152583,"3406 E 17TH ST, Austin, TX, ,","3406 E 17TH ST, AUSTIN, TX, 78721","-97.697334,30.281166",63947985,2109,1010
152584,"S 1ST ST / W WILLIAM CANNON DR, Austin, TX, ,",,,,,
152585,"2201 BARTON SPRINGS RD, Austin, TX, ,","2201 BARTON SPRINGS RD, AUSTIN, TX, 78746","-97.76766,30.266026",63981117,1911,1005
152586,"3501 LOYOLA LN, Austin, TX, ,","3501 LOYOLA LN, AUSTIN, TX, 78723","-97.667854,30.31079",63935192,2113,2008
152587,"601 E 15TH ST, Austin, TX, ,",,,,,
152588,"800 BLOCK RUTLAND DR, Austin, TX, ,","800 RUTLAND DR, AUSTIN, TX, 78758","-97.69619,30.364965",64023943,1822,1009
152589,"300 BLOCK E 6TH ST, Austin, TX, ,","300 E 6TH ST, AUSTIN, TX, 78701","-97.74029,30.267374",63946490,1100,1095
152599,"4320 S CONGRESS AVE, Austin, TX, ,",,,,,
152600,"4320 S CONGRESS AVE, Austin, TX, ,",,,,,
152601,"9601 MIDDLE FISKVILLE RD, Austin, TX, ,","9601 MIDDLE FISKVILLE RD, AUSTIN, TX, 78753","-97.68529,30.359375",641458449,1833,1004
152602,"2515 COATBRIDGE DR, Austin, TX, ,","2515 COATBRIDGE DR, AUSTIN, TX, 78745","-97.805786,30.215464",63938954,1713,3005
152603,"400 BLOCK GUADALUPE ST, Austin, TX, ,","400 GUADALUPE ST, AUSTIN, TX, 78701","-97.74694,30.26726",63943421,1100,1083
152604,"400 BLOCK GUADALUPE ST, Austin, TX, ,","400 GUADALUPE ST, AUSTIN, TX, 78701","-97.74694,30.26726",63943421,1100,1083
152605,"400 BLOCK GUADALUPE ST, Austin, TX, ,","400 GUADALUPE ST, AUSTIN, TX, 78701","-97.74694,30.26726",63943421,1100,1083
152619,"3501 LOYOLA LN, Austin, TX, ,","3501 LOYOLA LN, AUSTIN, TX, 78723","-97.667854,30.31079",63935192,2113,2008
152621,"400 E 6TH ST, Austin, TX, ,",,,,,
152622,"200 E HUNTLAND DR, Austin, TX, ,",,,,,
152623,"200 E HUNTLAND DR, Austin, TX, ,",,,,,
152639,"400 E 6TH ST, Austin, TX, ,",,,,,
152640,"400 E 6TH ST, Austin, TX, ,",,,,,
152641,"2515 COATBRIDGE DR, Austin, TX, ,","2515 COATBRIDGE DR, AUSTIN, TX, 78745","-97.805786,30.215464",63938954,1713,3005
152642,"2515 COATBRIDGE DR, Austin, TX, ,","2515 COATBRIDGE DR, AUSTIN, TX, 78745","-97.805786,30.215464",63938954,1713,3005
152643,"3412 SOUTH OAK DR, Austin, TX, ,","3412 S OAK DR, AUSTIN, TX, 78704","-97.7778,30.236137",63943905,2005,3002
152644,"1800 BURTON DR, Austin, TX, ,","1800 BURTON DR, AUSTIN, TX, 78741","-97.72862,30.235802",63948513,2315,1001
152645,"4320 S CONGRESS AVE, Austin, TX, ,",,,,,
